Date/Time,Swimming Distance (yd),Source
2022-01-06 09:15:47,2.4,Alan’s Apple Watch
2022-01-06 09:15:48,2.4,Alan’s Apple Watch
2022-01-06 09:15:49,0.472,Alan’s Apple Watch
2022-01-06 09:16:05,0.767,Alan’s Apple Watch
2022-01-06 09:16:06,0.904,Alan’s Apple Watch
2022-01-06 09:16:07,0.904,Alan’s Apple Watch
2022-01-06 09:16:08,0.904,Alan’s Apple Watch
2022-01-06 09:16:09,0.904,Alan’s Apple Watch
2022-01-06 09:16:10,0.904,Alan’s Apple Watch
2022-01-06 09:16:11,0.904,Alan’s Apple Watch
2022-01-06 09:16:12,0.904,Alan’s Apple Watch
2022-01-06 09:16:13,0.904,Alan’s Apple Watch
2022-01-06 09:16:14,0.904,Alan’s Apple Watch
2022-01-06 09:16:15,0.904,Alan’s Apple Watch
2022-01-06 09:16:16,0.904,Alan’s Apple Watch
2022-01-06 09:16:17,0.904,Alan’s Apple Watch
2022-01-06 09:16:18,0.904,Alan’s Apple Watch
2022-01-06 09:16:19,0.904,Alan’s Apple Watch
2022-01-06 09:16:20,0.904,Alan’s Apple Watch
2022-01-06 09:16:21,0.904,Alan’s Apple Watch
2022-01-06 09:16:22,0.904,Alan’s Apple Watch
2022-01-06 09:16:23,0.904,Alan’s Apple Watch
2022-01-06 09:16:24,0.904,Alan’s Apple Watch
2022-01-06 09:16:25,0.904,Alan’s Apple Watch
2022-01-06 09:16:26,0.904,Alan’s Apple Watch
2022-01-06 09:16:27,0.904,Alan’s Apple Watch
2022-01-06 09:16:28,0.904,Alan’s Apple Watch
2022-01-06 09:16:29,0.904,Alan’s Apple Watch
2022-01-06 09:16:30,0.904,Alan’s Apple Watch
2022-01-06 09:16:31,0.904,Alan’s Apple Watch
2022-01-06 09:16:32,0.734,Alan’s Apple Watch
2022-01-06 09:18:50,0.475,Alan’s Apple Watch
2022-01-06 09:18:51,1.42,Alan’s Apple Watch
2022-01-06 09:18:52,1.42,Alan’s Apple Watch
2022-01-06 09:18:53,1.42,Alan’s Apple Watch
2022-01-06 09:18:54,1.42,Alan’s Apple Watch
2022-01-06 09:18:55,1.42,Alan’s Apple Watch
2022-01-06 09:18:56,1.42,Alan’s Apple Watch
2022-01-06 09:18:57,1.42,Alan’s Apple Watch
2022-01-06 09:18:58,1.42,Alan’s Apple Watch
2022-01-06 09:18:59,1.42,Alan’s Apple Watch
2022-01-06 09:19:00,1.42,Alan’s Apple Watch
2022-01-06 09:19:01,1.42,Alan’s Apple Watch
2022-01-06 09:19:02,1.42,Alan’s Apple Watch
2022-01-06 09:19:03,1.42,Alan’s Apple Watch
2022-01-06 09:19:04,1.42,Alan’s Apple Watch
2022-01-06 09:19:05,1.42,Alan’s Apple Watch
2022-01-06 09:19:06,1.42,Alan’s Apple Watch
2022-01-06 09:19:07,1.42,Alan’s Apple Watch
2022-01-06 09:19:08,0.433,Alan’s Apple Watch
2022-01-06 09:19:14,1.99,Alan’s Apple Watch
2022-01-06 09:19:15,2.01,Alan’s Apple Watch
2022-01-06 09:19:16,2.01,Alan’s Apple Watch
2022-01-06 09:19:17,2.01,Alan’s Apple Watch
2022-01-06 09:19:18,2.01,Alan’s Apple Watch
2022-01-06 09:19:19,2.01,Alan’s Apple Watch
2022-01-06 09:19:20,2.01,Alan’s Apple Watch
2022-01-06 09:19:21,2.01,Alan’s Apple Watch
2022-01-06 09:19:22,2.01,Alan’s Apple Watch
2022-01-06 09:19:23,2.01,Alan’s Apple Watch
2022-01-06 09:19:24,2.01,Alan’s Apple Watch
2022-01-06 09:19:25,2.01,Alan’s Apple Watch
2022-01-06 09:19:26,0.92,Alan’s Apple Watch
2022-01-06 09:19:32,1.61,Alan’s Apple Watch
2022-01-06 09:19:33,1.67,Alan’s Apple Watch
2022-01-06 09:19:34,1.67,Alan’s Apple Watch
2022-01-06 09:19:35,1.67,Alan’s Apple Watch
2022-01-06 09:19:36,1.67,Alan’s Apple Watch
2022-01-06 09:19:37,1.67,Alan’s Apple Watch
