Date/Time,Active Energy (kcal),Source
2022-01-06 09:19:50,0.196,Alan’s Apple Watch
2022-01-06 09:19:51,0.196,Alan’s Apple Watch
2022-01-06 09:19:52,0.196,Alan’s Apple Watch
2022-01-06 09:19:53,0.196,Alan’s Apple Watch
2022-01-06 09:19:54,0.193,Alan’s Apple Watch
2022-01-06 09:19:55,0.017,Alan’s Apple Watch
2022-01-06 09:19:56,0.017,Alan’s Apple Watch
2022-01-06 09:19:57,0.017,Alan’s Apple Watch
2022-01-06 09:19:58,0.017,Alan’s Apple Watch
2022-01-06 09:19:59,0.017,Alan’s Apple Watch
2022-01-06 09:20:00,0.017,Alan’s Apple Watch
2022-01-06 09:20:01,0.017,Alan’s Apple Watch
2022-01-06 09:20:02,0.017,Alan’s Apple Watch
2022-01-06 09:20:03,0.017,Alan’s Apple Watch
2022-01-06 09:20:04,0.017,Alan’s Apple Watch
2022-01-06 09:20:05,0.116,Alan’s Apple Watch
2022-01-06 09:20:06,0.151,Alan’s Apple Watch
2022-01-06 09:20:07,0.151,Alan’s Apple Watch
2022-01-06 09:20:08,0.151,Alan’s Apple Watch
2022-01-06 09:20:09,0.151,Alan’s Apple Watch
2022-01-06 09:20:10,0.151,Alan’s Apple Watch
2022-01-06 09:20:11,0.151,Alan’s Apple Watch
2022-01-06 09:20:12,0.151,Alan’s Apple Watch
2022-01-06 09:20:13,0.151,Alan’s Apple Watch
2022-01-06 09:20:14,0.151,Alan’s Apple Watch
2022-01-06 09:20:15,0.151,Alan’s Apple Watch
2022-01-06 09:20:16,0.151,Alan’s Apple Watch
2022-01-06 09:20:17,0.151,Alan’s Apple Watch
2022-01-06 09:20:18,0.151,Alan’s Apple Watch
2022-01-06 09:20:19,0.151,Alan’s Apple Watch
2022-01-06 09:20:20,0.149,Alan’s Apple Watch
2022-01-06 09:20:21,0.145,Alan’s Apple Watch
2022-01-06 09:20:22,0.145,Alan’s Apple Watch
2022-01-06 09:20:23,0.145,Alan’s Apple Watch
2022-01-06 09:20:24,0.145,Alan’s Apple Watch
2022-01-06 09:20:25,0.145,Alan’s Apple Watch
2022-01-06 09:20:26,0.145,Alan’s Apple Watch
2022-01-06 09:20:27,0.145,Alan’s Apple Watch
2022-01-06 09:20:28,0.145,Alan’s Apple Watch
2022-01-06 09:20:29,0.145,Alan’s Apple Watch
2022-01-06 09:20:30,0.14,Alan’s Apple Watch
2022-01-06 09:20:31,0.017,Alan’s Apple Watch
2022-01-06 09:20:32,0.017,Alan’s Apple Watch
2022-01-06 09:20:33,0.017,Alan’s Apple Watch
2022-01-06 09:20:34,0.017,Alan’s Apple Watch
2022-01-06 09:20:35,0.017,Alan’s Apple Watch
2022-01-06 09:20:36,0.16,Alan’s Apple Watch
2022-01-06 09:20:37,0.176,Alan’s Apple Watch
2022-01-06 09:20:38,0.176,Alan’s Apple Watch
2022-01-06 09:20:39,0.176,Alan’s Apple Watch
